out:sDA,out:ID,Link_E1a
0.174603,E1a-0.6-S-0.6-0_O-0.6-5123-No,https://i.postimg.cc/rmsTFGV4/E1a-0-6-S-0-6-0-O-0-6-5123-No-daylight.png
0.476191,E1a-1.4-S-0.6-0_O-0.6-6028-Yes,https://i.postimg.cc/0yCrzfsG/E1a-1-4-S-0-6-0-O-0-6-6028-Yes-daylight.png
0.468254,E1a-1.2-S-0.6-0_O-0.6-6028-Yes,https://i.postimg.cc/fW6VpyC5/E1a-1-2-S-0-6-0-O-0-6-6028-Yes-daylight.png
0.539683,E1a-1.0-S-0.6-0_O-0.6-6028-Yes,https://i.postimg.cc/bvCJTwdL/E1a-1-S-0-6-0-O-0-6-6028-Yes-daylight.png
0.388889,E1a-0.8-S-0.6-0_O-0.6-6028-Yes,https://i.postimg.cc/Dmk3gtqJ/E1a-0-8-S-0-6-0-O-0-6-6028-Yes-daylight.png
0.285714,E1a-0.6-S-0.6-0_O-0.6-6028-Yes,https://i.postimg.cc/Jn0843rN/E1a-0-6-S-0-6-0-O-0-6-6028-Yes-daylight.png
0.436508,E1a-1.4-S-0.6-0_O-0.6-5123-Yes,https://i.postimg.cc/Cx0zM2Wr/E1a-1-4-S-0-6-0-O-0-6-5123-Yes-daylight.png
0.412698,E1a-1.2-S-0.6-0_O-0.6-5123-Yes,https://i.postimg.cc/G3Z4VtKK/E1a-1-2-S-0-6-0-O-0-6-5123-Yes-daylight.png
0.444444,E1a-1.0-S-0.6-0_O-0.6-5123-Yes,https://i.postimg.cc/bvCJTwdT/E1a-1-S-0-6-0-O-0-6-5123-Yes-daylight.png
0.34127,E1a-0.8-S-0.6-0_O-0.6-5123-Yes,https://i.postimg.cc/nMbfk6vC/E1a-0-8-S-0-6-0-O-0-6-5123-Yes-daylight.png
0.198413,E1a-0.6-S-0.6-0_O-0.6-5123-Yes,https://i.postimg.cc/63qK5VWR/E1a-0-6-S-0-6-0-O-0-6-5123-Yes-daylight.png
0.65873,E1a-1.4-S-0.8-0_O-0.8-6028-No,https://i.postimg.cc/8zbs7HG8/E1a-1-4-S-0-8-0-O-0-8-6028-No-daylight.png
0.587302,E1a-1.2-S-0.8-0_O-0.8-6028-No,https://i.postimg.cc/gcfxQj4b/E1a-1-2-S-0-8-0-O-0-8-6028-No-daylight.png
0.5,E1a-1.0-S-0.8-0_O-0.8-6028-No,https://i.postimg.cc/1t8zY1NM/E1a-1-S-0-8-0-O-0-8-6028-No-daylight.png
