out:sDA,out:ID,Link_E1c
0.301588,E1c-0.6-S-0.6-0_O-0.6-6028-No,https://i.postimg.cc/fT99RmkQ/E1c-0-6-S-0-6-0-O-0-6-6028-No-daylight.png
0.611111,E1c-1.4-S-0.6-0_O-0.6-5123-No,https://i.postimg.cc/bYGT1Gdx/E1c-1-4-S-0-6-0-O-0-6-5123-No-daylight.png
0.539683,E1c-1.2-S-0.6-0_O-0.6-5123-No,https://i.postimg.cc/W3yd21vt/E1c-1-2-S-0-6-0-O-0-6-5123-No-daylight.png
0.444444,E1c-1.0-S-0.6-0_O-0.6-5123-No,https://i.postimg.cc/y8KyqvjF/E1c-1-S-0-6-0-O-0-6-5123-No-daylight.png
0.357143,E1c-0.8-S-0.6-0_O-0.6-5123-No,https://i.postimg.cc/LsHYDWTw/E1c-0-8-S-0-6-0-O-0-6-5123-No-daylight.png
0.174603,E1c-0.6-S-0.6-0_O-0.6-5123-No,https://i.postimg.cc/X7CCYdqm/E1c-0-6-S-0-6-0-O-0-6-5123-No-daylight.png
0.476191,E1c-1.4-S-0.6-0_O-0.6-6028-Yes,https://i.postimg.cc/gcwD3wrH/E1c-1-4-S-0-6-0-O-0-6-6028-Yes-daylight.png
0.468254,E1c-1.2-S-0.6-0_O-0.6-6028-Yes,https://i.postimg.cc/xCZX012b/E1c-1-2-S-0-6-0-O-0-6-6028-Yes-daylight.png
0.539683,E1c-1.0-S-0.6-0_O-0.6-6028-Yes,https://i.postimg.cc/Hkm9GBz9/E1c-1-S-0-6-0-O-0-6-6028-Yes-daylight.png
0.388889,E1c-0.8-S-0.6-0_O-0.6-6028-Yes,https://i.postimg.cc/LsHYDWTc/E1c-0-8-S-0-6-0-O-0-6-6028-Yes-daylight.png
0.285714,E1c-0.6-S-0.6-0_O-0.6-6028-Yes,https://i.postimg.cc/SNMMxCjp/E1c-0-6-S-0-6-0-O-0-6-6028-Yes-daylight.png
0.436508,E1c-1.4-S-0.6-0_O-0.6-5123-Yes,https://i.postimg.cc/h4JrVJh9/E1c-1-4-S-0-6-0-O-0-6-5123-Yes-daylight.png
0.412698,E1c-1.2-S-0.6-0_O-0.6-5123-Yes,https://i.postimg.cc/G2f4cmCT/E1c-1-2-S-0-6-0-O-0-6-5123-Yes-daylight.png
0.444444,E1c-1.0-S-0.6-0_O-0.6-5123-Yes,https://i.postimg.cc/QdDJL0mQ/E1c-1-S-0-6-0-O-0-6-5123-Yes-daylight.png
0.34127,E1c-0.8-S-0.6-0_O-0.6-5123-Yes,https://i.postimg.cc/VNYrghR3/E1c-0-8-S-0-6-0-O-0-6-5123-Yes-daylight.png
0.198413,E1c-0.6-S-0.6-0_O-0.6-5123-Yes,https://i.postimg.cc/c4nnLw6y/E1c-0-6-S-0-6-0-O-0-6-5123-Yes-daylight.png
0.65873,E1c-1.4-S-0.8-0_O-0.8-6028-No,https://i.postimg.cc/44K5pKnj/E1c-1-4-S-0-8-0-O-0-8-6028-No-daylight.png
0.587302,E1c-1.2-S-0.8-0_O-0.8-6028-No,https://i.postimg.cc/PJ8PNnXv/E1c-1-2-S-0-8-0-O-0-8-6028-No-daylight.png
0.5,E1c-1.0-S-0.8-0_O-0.8-6028-No,https://i.postimg.cc/13SrxJB2/E1c-1-S-0-8-0-O-0-8-6028-No-daylight.png
0.388889,E1c-0.8-S-0.8-0_O-0.8-6028-No,https://i.postimg.cc/3wK41q1d/E1c-0-8-S-0-8-0-O-0-8-6028-No-daylight.png
0.214286,E1c-0.6-S-0.8-0_O-0.8-6028-No,https://i.postimg.cc/vZw6gT6Q/E1c-0-6-S-0-8-0-O-0-8-6028-No-daylight.png
