out:sDA,out:ID,Link_E1b
0.539683,E1b-1.2-S-0.6-0_O-0.6-5123-No,https://i.postimg.cc/KYXQYmmk/E1b-1-2-S-0-6-0-O-0-6-5123-No-daylight.png
0.444444,E1b-1.0-S-0.6-0_O-0.6-5123-No,https://i.postimg.cc/8cnmgSy0/E1b-1-S-0-6-0-O-0-6-5123-No-daylight.png
0.357143,E1b-0.8-S-0.6-0_O-0.6-5123-No,https://i.postimg.cc/L4vyVdVL/E1b-0-8-S-0-6-0-O-0-6-5123-No-daylight.png
0.174603,E1b-0.6-S-0.6-0_O-0.6-5123-No,https://i.postimg.cc/C5McVJSQ/E1b-0-6-S-0-6-0-O-0-6-5123-No-daylight.png
0.476191,E1b-1.4-S-0.6-0_O-0.6-6028-Yes,https://i.postimg.cc/Kzf5QLB0/E1b-1-4-S-0-6-0-O-0-6-6028-Yes-daylight.png
0.468254,E1b-1.2-S-0.6-0_O-0.6-6028-Yes,https://i.postimg.cc/5tcptffL/E1b-1-2-S-0-6-0-O-0-6-6028-Yes-daylight.png
0.539683,E1b-1.0-S-0.6-0_O-0.6-6028-Yes,https://i.postimg.cc/v8PzVrQd/E1b-1-S-0-6-0-O-0-6-6028-Yes-daylight.png
0.388889,E1b-0.8-S-0.6-0_O-0.6-6028-Yes,https://i.postimg.cc/RVFgsPPq/E1b-0-8-S-0-6-0-O-0-6-6028-Yes-daylight.png
0.285714,E1b-0.6-S-0.6-0_O-0.6-6028-Yes,https://i.postimg.cc/7hPKyXwj/E1b-0-6-S-0-6-0-O-0-6-6028-Yes-daylight.png
0.436508,E1b-1.4-S-0.6-0_O-0.6-5123-Yes,https://i.postimg.cc/qRwGQnyx/E1b-1-4-S-0-6-0-O-0-6-5123-Yes-daylight.png
0.412698,E1b-1.2-S-0.6-0_O-0.6-5123-Yes,https://i.postimg.cc/cJqTJddt/E1b-1-2-S-0-6-0-O-0-6-5123-Yes-daylight.png
0.444444,E1b-1.0-S-0.6-0_O-0.6-5123-Yes,https://i.postimg.cc/T1HJv6ks/E1b-1-S-0-6-0-O-0-6-5123-Yes-daylight.png
0.34127,E1b-0.8-S-0.6-0_O-0.6-5123-Yes,https://i.postimg.cc/fTL82HHL/E1b-0-8-S-0-6-0-O-0-6-5123-Yes-daylight.png
0.198413,E1b-0.6-S-0.6-0_O-0.6-5123-Yes,https://i.postimg.cc/BbZmGN4w/E1b-0-6-S-0-6-0-O-0-6-5123-Yes-daylight.png
0.65873,E1b-1.4-S-0.8-0_O-0.8-6028-No,https://i.postimg.cc/mDjSVM7G/E1b-1-4-S-0-8-0-O-0-8-6028-No-daylight.png
0.587302,E1b-1.2-S-0.8-0_O-0.8-6028-No,https://i.postimg.cc/DzV5z77t/E1b-1-2-S-0-8-0-O-0-8-6028-No-daylight.png
0.5,E1b-1.0-S-0.8-0_O-0.8-6028-No,https://i.postimg.cc/59P3CBxH/E1b-1-S-0-8-0-O-0-8-6028-No-daylight.png
0.388889,E1b-0.8-S-0.8-0_O-0.8-6028-No,https://i.postimg.cc/MKT9Pssm/E1b-0-8-S-0-8-0-O-0-8-6028-No-daylight.png
0.214286,E1b-0.6-S-0.8-0_O-0.8-6028-No,https://i.postimg.cc/d3Q5KnJ3/E1b-0-6-S-0-8-0-O-0-8-6028-No-daylight.png
0.555556,E1b-1.4-S-0.8-0_O-0.8-5123-No,https://i.postimg.cc/Tw0cQmn8/E1b-1-4-S-0-8-0-O-0-8-5123-No-daylight.png
0.492063,E1b-1.2-S-0.8-0_O-0.8-5123-No,https://i.postimg.cc/MGktGzzN/E1b-1-2-S-0-8-0-O-0-8-5123-No-daylight.png
0.420635,E1b-1.0-S-0.8-0_O-0.8-5123-No,https://i.postimg.cc/h4CrdLSf/E1b-1-S-0-8-0-O-0-8-5123-No-daylight.png
0.301588,E1b-0.8-S-0.8-0_O-0.8-5123-No,https://i.postimg.cc/m2DmXddY/E1b-0-8-S-0-8-0-O-0-8-5123-No-daylight.png
0.134921,E1b-0.6-S-0.8-0_O-0.8-5123-No,https://i.postimg.cc/x8j6Sg91/E1b-0-6-S-0-8-0-O-0-8-5123-No-daylight.png
0.468254,E1b-1.4-S-0.8-0_O-0.8-6028-Yes,https://i.postimg.cc/xC5PgHLV/E1b-1-4-S-0-8-0-O-0-8-6028-Yes-daylight.png
0.444444,E1b-1.2-S-0.8-0_O-0.8-6028-Yes,https://i.postimg.cc/xdrgd90r/E1b-1-2-S-0-8-0-O-0-8-6028-Yes-daylight.png
0.492063,E1b-1.0-S-0.8-0_O-0.8-6028-Yes,https://i.postimg.cc/448596J7/E1b-1-S-0-8-0-O-0-8-6028-Yes-daylight.png
0.357143,E1b-0.8-S-0.8-0_O-0.8-6028-Yes,https://i.postimg.cc/15tvCWWB/E1b-0-8-S-0-8-0-O-0-8-6028-Yes-daylight.png
0.214286,E1b-0.6-S-0.8-0_O-0.8-6028-Yes,https://i.postimg.cc/J0TP7Jhm/E1b-0-6-S-0-8-0-O-0-8-6028-Yes-daylight.png
0.428572,E1b-1.4-S-0.8-0_O-0.8-5123-Yes,https://i.postimg.cc/cHhcTYfy/E1b-1-4-S-0-8-0-O-0-8-5123-Yes-daylight.png
0.388889,E1b-1.2-S-0.8-0_O-0.8-5123-Yes,https://i.postimg.cc/FKtGKhhM/E1b-1-2-S-0-8-0-O-0-8-5123-Yes-daylight.png
0.404762,E1b-1.0-S-0.8-0_O-0.8-5123-Yes,https://i.postimg.cc/y6fPZmVW/E1b-1-S-0-8-0-O-0-8-5123-Yes-daylight.png
0.293651,E1b-0.8-S-0.8-0_O-0.8-5123-Yes,https://i.postimg.cc/dt15HWWm/E1b-0-8-S-0-8-0-O-0-8-5123-Yes-daylight.png
0.134921,E1b-0.6-S-0.8-0_O-0.8-5123-Yes,https://i.postimg.cc/8ckZVwT5/E1b-0-6-S-0-8-0-O-0-8-5123-Yes-daylight.png
0.857143,E1b-1.4-S-0-15_O-0-6028-No,https://i.postimg.cc/sx24LXJg/E1b-1-4-S-0-15-O-0-6028-No-daylight.png
0.769841,E1b-1.2-S-0-15_O-0-6028-No,https://i.postimg.cc/KYnfkCz1/E1b-1-2-S-0-15-O-0-6028-No-daylight.png
0.674603,E1b-1.0-S-0-15_O-0-6028-No,https://i.postimg.cc/Wbh76d3M/E1b-1-S-0-15-O-0-6028-No-daylight.png
0.579365,E1b-0.8-S-0-15_O-0-6028-No,https://i.postimg.cc/Qxy0RpwG/E1b-0-8-S-0-15-O-0-6028-No-daylight.png
0.47619,E1b-0.6-S-0-15_O-0-6028-No,https://i.postimg.cc/nrd0V7Lq/E1b-0-6-S-0-15-O-0-6028-No-daylight.png
0.722222,E1b-1.4-S-0-15_O-0-5123-No,https://i.postimg.cc/BbvBz6Cq/E1b-1-4-S-0-15-O-0-5123-No-daylight.png
0.650794,E1b-1.2-S-0-15_O-0-5123-No,https://i.postimg.cc/tghkZ8TJ/E1b-1-2-S-0-15-O-0-5123-No-daylight.png
0.595238,E1b-1.0-S-0-15_O-0-5123-No,https://i.postimg.cc/Nf5x7KMR/E1b-1-S-0-15-O-0-5123-No-daylight.png
0.492063,E1b-0.8-S-0-15_O-0-5123-No,https://i.postimg.cc/YqsbJ1VP/E1b-0-8-S-0-15-O-0-5123-No-daylight.png
0.380953,E1b-0.6-S-0-15_O-0-5123-No,https://i.postimg.cc/7hBmP7L7/E1b-0-6-S-0-15-O-0-5123-No-daylight.png
0.84127,E1b-1.4-S-0-15_O-0-6028-Yes,https://i.postimg.cc/NF0knMxK/E1b-1-4-S-0-15-O-0-6028-Yes-daylight.png
0.761905,E1b-1.2-S-0-15_O-0-6028-Yes,https://i.postimg.cc/g0vsX1Jr/E1b-1-2-S-0-15-O-0-6028-Yes-daylight.png
0.674603,E1b-1.0-S-0-15_O-0-6028-Yes,https://i.postimg.cc/m2tSNPDY/E1b-1-S-0-15-O-0-6028-Yes-daylight.png
0.587302,E1b-0.8-S-0-15_O-0-6028-Yes,https://i.postimg.cc/02BcLpFq/E1b-0-8-S-0-15-O-0-6028-Yes-daylight.png
0.468254,E1b-0.6-S-0-15_O-0-6028-Yes,https://i.postimg.cc/kGjfM85Q/E1b-0-6-S-0-15-O-0-6028-Yes-daylight.png
0.714286,E1b-1.4-S-0-15_O-0-5123-Yes,https://i.postimg.cc/qq7xFRGM/E1b-1-4-S-0-15-O-0-5123-Yes-daylight.png
0.65873,E1b-1.2-S-0-15_O-0-5123-Yes,https://i.postimg.cc/nLv2jNzC/E1b-1-2-S-0-15-O-0-5123-Yes-daylight.png
0.587302,E1b-1.0-S-0-15_O-0-5123-Yes,https://i.postimg.cc/jdLhQD5P/E1b-1-S-0-15-O-0-5123-Yes-daylight.png
0.492063,E1b-0.8-S-0-15_O-0-5123-Yes,https://i.postimg.cc/xT4tWK7w/E1b-0-8-S-0-15-O-0-5123-Yes-daylight.png
0.380953,E1b-0.6-S-0-15_O-0-5123-Yes,https://i.postimg.cc/gjMNcR0v/E1b-0-6-S-0-15-O-0-5123-Yes-daylight.png
0.777778,E1b-1.4-S-0.2-15_O-0.2-6028-No,https://i.postimg.cc/C1SNjJBq/E1b-1-4-S-0-2-15-O-0-2-6028-No-daylight.png
0.722222,E1b-1.2-S-0.2-15_O-0.2-6028-No,https://i.postimg.cc/8zftD7gG/E1b-1-2-S-0-2-15-O-0-2-6028-No-daylight.png
0.611111,E1b-1.0-S-0.2-15_O-0.2-6028-No,https://i.postimg.cc/sx04CrnW/E1b-1-S-0-2-15-O-0-2-6028-No-daylight.png
0.547619,E1b-0.8-S-0.2-15_O-0.2-6028-No,https://i.postimg.cc/kMwjyryP/E1b-0-8-S-0-2-15-O-0-2-6028-No-daylight.png
0.420635,E1b-0.6-S-0.2-15_O-0.2-6028-No,https://i.postimg.cc/2670JgR7/E1b-0-6-S-0-2-15-O-0-2-6028-No-daylight.png
0.666667,E1b-1.4-S-0.2-15_O-0.2-5123-No,https://i.postimg.cc/76wVgXG6/E1b-1-4-S-0-2-15-O-0-2-5123-No-daylight.png
0.611111,E1b-1.2-S-0.2-15_O-0.2-5123-No,https://i.postimg.cc/dVZ4vhcc/E1b-1-2-S-0-2-15-O-0-2-5123-No-daylight.png
0.539683,E1b-1.0-S-0.2-15_O-0.2-5123-No,https://i.postimg.cc/MHrmJSsQ/E1b-1-S-0-2-15-O-0-2-5123-No-daylight.png
0.444444,E1b-0.8-S-0.2-15_O-0.2-5123-No,https://i.postimg.cc/KcQ95XDd/E1b-0-8-S-0-2-15-O-0-2-5123-No-daylight.png
0.325397,E1b-0.6-S-0.2-15_O-0.2-5123-No,https://i.postimg.cc/85mZ3xQR/E1b-0-6-S-0-2-15-O-0-2-5123-No-daylight.png
0.444444,E1b-1.4-S-0.2-15_O-0.2-6028-Yes,https://i.postimg.cc/Y9M318G4/E1b-1-4-S-0-2-15-O-0-2-6028-Yes-daylight.png
0.452381,E1b-1.2-S-0.2-15_O-0.2-6028-Yes,https://i.postimg.cc/vZx3M4wb/E1b-1-2-S-0-2-15-O-0-2-6028-Yes-daylight.png
0.619048,E1b-1.0-S-0.2-15_O-0.2-6028-Yes,https://i.postimg.cc/XqDk6b2y/E1b-1-S-0-2-15-O-0-2-6028-Yes-daylight.png
0.436508,E1b-0.8-S-0.2-15_O-0.2-6028-Yes,https://i.postimg.cc/NGbNxhxt/E1b-0-8-S-0-2-15-O-0-2-6028-Yes-daylight.png
0.380953,E1b-0.6-S-0.2-15_O-0.2-6028-Yes,https://i.postimg.cc/W3w5KxLm/E1b-0-6-S-0-2-15-O-0-2-6028-Yes-daylight.png
0.436508,E1b-1.4-S-0.2-15_O-0.2-5123-Yes,https://i.postimg.cc/Hxd2Q3cn/E1b-1-4-S-0-2-15-O-0-2-5123-Yes-daylight.png
0.444444,E1b-1.2-S-0.2-15_O-0.2-5123-Yes,https://i.postimg.cc/9QwJVDHh/E1b-1-2-S-0-2-15-O-0-2-5123-Yes-daylight.png
0.539683,E1b-1.0-S-0.2-15_O-0.2-5123-Yes,https://i.postimg.cc/8cnmgSyf/E1b-1-S-0-2-15-O-0-2-5123-Yes-daylight.png
0.388889,E1b-0.8-S-0.2-15_O-0.2-5123-Yes,https://i.postimg.cc/BZNhCWBr/E1b-0-8-S-0-2-15-O-0-2-5123-Yes-daylight.png
0.325397,E1b-0.6-S-0.2-15_O-0.2-5123-Yes,https://i.postimg.cc/pTJs73bY/E1b-0-6-S-0-2-15-O-0-2-5123-Yes-daylight.png
0.722222,E1b-1.4-S-0.4-15_O-0.4-6028-No,https://i.postimg.cc/nzpkvTj2/E1b-1-4-S-0-4-15-O-0-4-6028-No-daylight.png
0.65873,E1b-1.2-S-0.4-15_O-0.4-6028-No,https://i.postimg.cc/rwRQcD2r/E1b-1-2-S-0-4-15-O-0-4-6028-No-daylight.png
0.579365,E1b-1.0-S-0.4-15_O-0.4-6028-No,https://i.postimg.cc/qqZxHTmw/E1b-1-S-0-4-15-O-0-4-6028-No-daylight.png
0.484127,E1b-0.8-S-0.4-15_O-0.4-6028-No,https://i.postimg.cc/05ZtCgCz/E1b-0-8-S-0-4-15-O-0-4-6028-No-daylight.png
0.349206,E1b-0.6-S-0.4-15_O-0.4-6028-No,https://i.postimg.cc/xC367BDW/E1b-0-6-S-0-4-15-O-0-4-6028-No-daylight.png
0.626985,E1b-1.4-S-0.4-15_O-0.4-5123-No,https://i.postimg.cc/Twf9rQLJ/E1b-1-4-S-0-4-15-O-0-4-5123-No-daylight.png
0.563492,E1b-1.2-S-0.4-15_O-0.4-5123-No,https://i.postimg.cc/13VJP81g/E1b-1-2-S-0-4-15-O-0-4-5123-No-daylight.png
0.492063,E1b-1.0-S-0.4-15_O-0.4-5123-No,https://i.postimg.cc/j2k4Yb8v/E1b-1-S-0-4-15-O-0-4-5123-No-daylight.png
0.380953,E1b-0.8-S-0.4-15_O-0.4-5123-No,https://i.postimg.cc/QNS6qLqH/E1b-0-8-S-0-4-15-O-0-4-5123-No-daylight.png
0.253968,E1b-0.6-S-0.4-15_O-0.4-5123-No,https://i.postimg.cc/G2xXN6wf/E1b-0-6-S-0-4-15-O-0-4-5123-No-daylight.png
0.444444,E1b-1.4-S-0.4-15_O-0.4-6028-Yes,https://i.postimg.cc/zB8jnpbp/E1b-1-4-S-0-4-15-O-0-4-6028-Yes-daylight.png
0.468254,E1b-1.2-S-0.4-15_O-0.4-6028-Yes,https://i.postimg.cc/0yKcxz1S/E1b-1-2-S-0-4-15-O-0-4-6028-Yes-daylight.png
0.587302,E1b-1.0-S-0.4-15_O-0.4-6028-Yes,https://i.postimg.cc/nrwGfJd3/E1b-1-S-0-4-15-O-0-4-6028-Yes-daylight.png
0.404762,E1b-0.8-S-0.4-15_O-0.4-6028-Yes,https://i.postimg.cc/44w81C1K/E1b-0-8-S-0-4-15-O-0-4-6028-Yes-daylight.png
0.349206,E1b-0.6-S-0.4-15_O-0.4-6028-Yes,https://i.postimg.cc/Jn5pgSVf/E1b-0-6-S-0-4-15-O-0-4-6028-Yes-daylight.png
0.444444,E1b-1.4-S-0.4-15_O-0.4-5123-Yes,https://i.postimg.cc/85NHhwJb/E1b-1-4-S-0-4-15-O-0-4-5123-Yes-daylight.png
0.436508,E1b-1.2-S-0.4-15_O-0.4-5123-Yes,https://i.postimg.cc/6p4Yw8xG/E1b-1-2-S-0-4-15-O-0-4-5123-Yes-daylight.png
0.492063,E1b-1.0-S-0.4-15_O-0.4-5123-Yes,https://i.postimg.cc/j2k4Yb8X/E1b-1-S-0-4-15-O-0-4-5123-Yes-daylight.png
0.36508,E1b-0.8-S-0.4-15_O-0.4-5123-Yes,https://i.postimg.cc/rygh969z/E1b-0-8-S-0-4-15-O-0-4-5123-Yes-daylight.png
0.261905,E1b-0.6-S-0.4-15_O-0.4-5123-Yes,https://i.postimg.cc/KzD0VCSw/E1b-0-6-S-0-4-15-O-0-4-5123-Yes-daylight.png
0.698413,E1b-1.4-S-0.6-15_O-0.6-6028-No,https://i.postimg.cc/63chzRnj/E1b-1-4-S-0-6-15-O-0-6-6028-No-daylight.png
0.611111,E1b-1.2-S-0.6-15_O-0.6-6028-No,https://i.postimg.cc/0NgZN99C/E1b-1-2-S-0-6-15-O-0-6-6028-No-daylight.png
0.531746,E1b-1.0-S-0.6-15_O-0.6-6028-No,https://i.postimg.cc/jq8X7Hsx/E1b-1-S-0-6-15-O-0-6-6028-No-daylight.png
0.428572,E1b-0.8-S-0.6-15_O-0.6-6028-No,https://i.postimg.cc/CL1cPvvn/E1b-0-8-S-0-6-15-O-0-6-6028-No-daylight.png
0.277778,E1b-0.6-S-0.6-15_O-0.6-6028-No,https://i.postimg.cc/ZnYwhjJ4/E1b-0-6-S-0-6-15-O-0-6-6028-No-daylight.png
